LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3184,3184,11,0.36305704712867737,1511.0713887545774,854.0363354294279,0.0,119.0,119,8.0,1,,4.606334841628959,1.0,0.0,26.0,1018.0,6.408357870504921,0.9036960615264742,0.6824385027558326
ID3441,3441,11,0.3608773946762085,1630.2810243667764,842.5872293076483,0.0,126.0,126,8.0,1,,4.904977375565611,2.0,0.0,28.0,1084.0,6.777973860865555,0.8238378561534196,0.6537664550540144
ID2931,2931,11,0.4226717948913574,1567.2497943102985,842.4962645418001,0.0,92.0,92,8.0,1,,5.9366515837104075,3.0,0.0,29.0,1312.0,7.428787103427739,0.8679275130508146,0.7426378519778936
ID2168,2168,11,0.31321170926094055,1799.213224540205,1061.6350997486331,0.0,9.0,9,8.0,1,,4.497737556561086,2.0,0.0,24.0,994.0,5.710138061051146,0.7222660438352795,0.6606545891276284
ID3193,3193,11,0.38104188442230225,1458.4140533388077,788.8927055891902,0.0,114.0,114,8.0,1,,5.280542986425339,2.0,0.0,32.0,1167.0,7.277176754896601,0.8353354051814001,0.6605278003028074
ID2426,2426,11,0.434932678937912,1637.820995945825,802.8042282499088,0.0,44.0,44,8.0,1,,5.751131221719457,2.0,0.0,33.0,1271.0,8.472230632858087,0.8198124745209946,0.6116083239257832
ID2683,2683,11,0.4687582850456238,1584.1928845173418,868.3465366310293,0.0,71.0,71,8.0,1,,5.683257918552036,1.0,0.0,36.0,1256.0,9.023159105701954,0.8960036341187844,0.5953047553041493
ID2942,2942,11,0.42184120416641235,1611.535858360005,841.9663369386974,0.0,94.0,94,8.0,1,,5.65158371040724,2.0,0.0,29.0,1249.0,7.397841191769562,0.7885342717765416,0.6736254137772332
ID3454,3454,11,0.34675103425979614,1567.2972670045451,862.0238453783857,0.0,138.0,138,8.0,1,,4.588235294117647,1.0,0.0,32.0,1014.0,7.190122458106457,0.8592948187386193,0.5898387818296364
ID2175,2175,11,0.2869790196418762,1721.310162217279,928.072427298601,0.0,19.0,19,8.0,1,,4.429864253393665,2.0,0.0,27.0,979.0,5.791907715208272,0.8141917107780475,0.6865027457618914
ID2433,2433,11,0.3573518991470337,1626.496655795815,833.1325368101295,0.0,27.0,27,8.0,1,,4.719457013574661,1.0,0.0,34.0,1043.0,7.705548866900348,0.7946134830207617,0.5423797355613587
ID2691,2691,11,0.3960605561733246,1619.0036021424273,818.5376484205461,0.0,66.0,66,8.0,1,,6.072398190045249,3.0,0.0,37.0,1342.0,7.648185057717134,0.7713212558713656,0.6914643844064906
ID3207,3207,11,0.40506628155708313,1511.016270150271,852.7263360692639,0.0,118.0,118,8.0,1,,5.461538461538462,2.0,0.0,30.0,1207.0,7.123878883701657,0.9021788564104686,0.7272266062608372
ID2952,2952,11,0.4219101071357727,1591.3547608600038,841.1895994390168,0.0,93.0,93,8.0,1,,5.375565610859729,1.0,0.0,30.0,1188.0,7.715930408252388,0.8816972879031756,0.6528833700351833
ID2443,2443,11,0.368467777967453,1609.8096292739976,810.5998165956344,0.0,29.0,29,8.0,1,,4.746606334841629,2.0,0.0,27.0,1049.0,6.7775732968610045,0.8094006037084951,0.6265673787413588
ID3468,3468,11,0.3872663676738739,1555.6306976859269,859.4720699123792,0.0,137.0,137,8.0,1,,5.0,0.0,0.0,34.0,1105.0,8.42668920211793,0.8975109809663251,0.5613044646782671
ID2703,2703,11,0.41400277614593506,1563.4411196085546,873.2413246895295,0.0,70.0,70,8.0,1,,6.004524886877828,2.0,0.0,34.0,1327.0,8.08224638977677,0.8216263794927852,0.670180252208875
ID3218,3218,11,0.39554154872894287,1497.6179156378757,815.7141986426578,0.0,116.0,116,8.0,1,,5.108597285067873,1.0,0.0,31.0,1129.0,7.2184717802059,0.9006709317052576,0.670726730511343
ID2964,2964,11,0.3993181586265564,1610.480009784459,810.8102590047135,0.0,98.0,98,8.0,1,,5.588235294117647,2.0,0.0,29.0,1235.0,7.50319005240883,0.7988165680473372,0.661483350341665
